Category,Value
NIC Corporation, STANDARD VALUES CASE SIZES AND SPECIFICATIONS
NIC Corporation, STANDARD PRODUCTS AND CASE SIZES
NIC Corporation, STANDARD PRODUCTS AND CASE SIZES Dφ x L (mm)
Panasonic, Endurance : 125 °C 3000 h (D8 size : 2000 h)
Panasonic, Characteristics list
Panasonic, Endurance : 105 °C 2000 h
Panasonic, Endurance : 105 °C 3000 h
Panasonic, Endurance : 105 Â°C 2000 h
Panasonic, Endurance : 125 °C 4000 h (J16 K16 size : 3000 h)
Panasonic, High temperature Lead-Free reflow Products
Panasonic, High temperature Lead-Free refl ow Prod ucts
Panasonic, Reflow ✽􀀔 <Standard>
SURGE Components,"Size List, Impedance, Maximum Permissible Ripple Current"
Vishay,ELECTRICAL DATA AND ORDERING INFORMATION
Nichicon,Dimensions
Nichicon,standard size
Nichicon,size фdxl(mm) rated ripple current (mA r.m.s/105°C 100KHz) Impedance(Ω max/20°C 100kHz)
Nichicon,size dxl mm rated ripple current mA rms 105C 100KHz Impedance Ω max 20C 100kHz
