Category,Value
Capacitance,f
Capacitance,farad
Capacitance,Farad
Capacitance,farads
Capacitance,micro farads
Capacitance,microfarads
Capacitance,micro farad
Capacitance,microfarad
Capacitance,pico farads
Capacitance,picofarads
Capacitance,pico farad
Capacitance,picofarad
Capacitance,μ farads
Capacitance,μfarads
Capacitance,μf
Capacitance,nf
Capacitance,n f
Capacitance,n farad
Capacitance,n farads
Capacitance,nano farad
Capacitance,nanofarad
Capacitance,nanofarads
Capacitance,nano farads
Current,a
Current,A
Current,amp
Current,amps
Current,amperes
Resistance,Ω
Resistance,mega Ω
Resistance,kilo Ω
Resistance,
Resistance,ohm
Resistance,Ohm
Resistance,ohms
Voltage,v
Voltage,V
Voltage,volt
Voltage,volts
Voltage,vdc
Voltage,vdc
